Date,Price,Open,High,Low,Vol.,Change %
8/26/2021,30549.20,31380.20,31380.20,30074.30,2.57M,-2.15%
8/27/2021,30628.30,30470.00,30865.70,29916.00,2.40M,0.26%
8/30/2021,31221.90,30865.70,31261.50,30707.50,1.77M,1.94%
8/31/2021,30826.20,31340.60,31340.60,30826.20,2.28M,-1.27%
9/1/2021,30865.70,30707.50,30944.90,30588.70,1.71M,0.13%
9/6/2021,30944.90,30905.30,31261.50,30826.20,1.72M,0.26%
9/7/2021,31419.70,31103.20,31815.50,30984.50,2.15M,1.53%
9/8/2021,31340.60,31815.50,31973.70,31261.50,1.79M,-0.25%
9/9/2021,31498.90,31340.60,31498.90,31301.00,1.06M,0.51%
9/10/2021,31380.20,31657.20,31657.20,31340.60,998.40K,-0.38%
9/13/2021,30984.50,31380.20,31380.20,30865.70,2.18M,-1.26%
9/14/2021,30628.30,30944.90,30984.50,30549.20,1.78M,-1.15%
9/15/2021,30707.50,30549.20,30865.70,30549.20,1.33M,0.26%
9/16/2021,31182.30,30944.90,31261.50,30905.30,1.84M,1.55%
9/17/2021,31657.20,31340.60,32013.30,31340.60,2.24M,1.52%
9/20/2021,31578.00,31696.70,31894.60,31578.00,2.46M,-0.25%
9/21/2021,31380.20,31261.50,31498.90,31024.00,1.92M,-0.63%
9/22/2021,31340.60,31340.60,31578.00,30944.90,1.59M,-0.13%
9/23/2021,31221.90,31498.90,31578.00,31221.90,1.36M,-0.38%
9/24/2021,31419.70,31261.50,31498.90,31221.90,1.21M,0.63%
9/27/2021,31182.30,31419.70,31736.30,31024.00,1.52M,-0.76%
9/28/2021,31736.30,31182.30,31934.20,31024.00,2.75M,1.78%
9/29/2021,31578.00,31696.70,31696.70,31103.20,1.49M,-0.50%
9/30/2021,31221.90,31538.50,31657.20,31142.70,1.38M,-1.13%
10/1/2021,30707.50,31103.20,31221.90,30707.50,2.09M,-1.65%
10/4/2021,30786.60,30747.00,31340.60,30470.00,1.33M,0.26%
10/5/2021,31103.20,30865.70,31301.00,30865.70,918.20K,1.03%
10/6/2021,31182.30,31261.50,31657.20,31103.20,1.02M,0.25%
10/7/2021,30984.50,31182.30,31261.50,30984.50,1.28M,-0.63%
10/8/2021,31024.00,30984.50,31182.30,30984.50,1.23M,0.13%
10/11/2021,31657.20,31340.60,31657.20,31182.30,2.21M,2.04%
10/12/2021,31855.00,31815.50,32250.70,31696.70,2.50M,0.62%
10/13/2021,31578.00,31894.60,32013.30,31340.60,1.79M,-0.87%
10/14/2021,31301.00,31578.00,31617.60,31301.00,1.33M,-0.88%
10/15/2021,31261.50,31301.00,31538.50,31261.50,1.39M,-0.13%
10/18/2021,31103.20,31261.50,31696.70,30865.70,2.26M,-0.51%
10/19/2021,31696.70,31103.20,32092.50,30865.70,2.78M,1.91%
10/20/2021,31459.30,31696.70,31815.50,31103.20,1.36M,-0.75%
10/21/2021,31261.50,31459.30,31578.00,31261.50,795.10K,-0.63%
10/22/2021,31103.20,31261.50,31419.70,31103.20,1.33M,-0.51%
10/25/2021,31024.00,31340.60,31340.60,31024.00,1.12M,-0.25%
10/26/2021,31024.00,31024.00,31182.30,30984.50,688.20K,0.00%
10/27/2021,31578.00,31063.60,31617.60,31063.60,1.78M,1.79%
10/28/2021,31538.50,31657.20,31815.50,31419.70,1.56M,-0.13%
10/29/2021,32844.30,31657.20,33002.60,31578.00,4.69M,4.14%
11/1/2021,33081.70,33240.00,33319.20,32923.50,4.14M,0.72%
11/2/2021,33200.50,33081.70,33635.80,32923.50,1.92M,0.36%
11/3/2021,34071.00,33477.50,34902.00,33240.00,7.05M,2.62%
11/4/2021,34822.90,34150.20,35020.80,33794.00,5.51M,2.21%
11/5/2021,34506.30,34822.90,35139.50,34229.30,2.44M,-0.91%
11/8/2021,34743.80,34506.30,35139.50,34150.20,3.38M,0.69%
11/9/2021,34031.50,34822.90,34941.60,34031.50,3.20M,-2.05%
11/10/2021,34031.50,34110.60,34427.20,33517.00,2.69M,0.00%
11/11/2021,33873.20,34348.00,34427.20,33398.30,3.07M,-0.47%
11/12/2021,34189.80,33517.00,34268.90,33517.00,2.36M,0.93%
11/15/2021,33873.20,34308.50,34427.20,33240.00,1.92M,-0.93%
11/16/2021,33873.20,33794.00,34110.60,33596.20,1.59M,0.00%
11/17/2021,34506.30,33754.50,34664.60,33596.20,3.07M,1.87%
